sample_id,subtype,TMB,immune_score,CD274,PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,VTCN1,CD276,PDCD1LG2,CD8 T_score,Treg_score,Cytotoxic_score,NK_score,B cell_score,Macrophage_score,DC_score,Neutrophil_score
TCGA-D1-A15Z-01A,IS1,1.605263157894737,2.6461971336080192,1.0361,11.8159,13.9226,1.8902,6.4364,0.2745,18.5657,38.568,144.0539,0.8126,3.6446466246560174,1.8696549228501962,3.1310697528023406,0.9403263345617846,0.2964102124311145,2.2367809020637064,1.2217863608271642,1.9559757413306047
TCGA-D1-A161-01A,IS1,1.8421052631578947,2.7579143543292473,1.1696,2.0501,1.7135,4.634,4.7239,0.8511,29.6895,119.3421,89.0778,0.5719,2.1387173093297425,2.0097313506968963,2.817050445058051,1.5561384767348982,1.3531491821153854,0.7644486707780245,2.0111207180563717,1.174058411666871
TCGA-D1-A17H-01A,IS1,16.473684210526315,3.006652192576084,1.0603,3.0916,0.852,5.6019,4.4153,1.6298,103.7672,106.3184,92.3735,1.2912,2.3341673313975098,1.7362282226303771,2.889719040838943,1.5438236207501368,1.403106899787532,1.6732685114313453,1.0223755382730924,1.925912080048538
TCGA-D1-A17F-01A,IS1,4.842105263157895,2.7667510663724544,1.2094,4.2215,4.01,8.2172,7.3963,2.5063,25.4313,36.8245,33.4661,0.6314,2.4519700484557085,1.642679215838628,2.476956294176088,1.518137283680227,1.7938018130809577,0.9568694119392879,2.051064248239715,2.410211563510232
TCGA-D1-A17D-01A,IS1,11.789473684210526,2.563594042444089,0.7223,2.2639,0.9983,1.5146,5.0253,0.5261,5.5804,68.4977,94.3504,0.1464,1.5430899551433046,1.0516309865822573,1.6648227215580433,1.2034358926867472,1.433081919749099,0.9510379418521007,1.9583725878066267,3.2568839996472696
TCGA-D1-A17C-01A,IS1,1.236842105263158,2.727575028701454,0.9142,12.2201,9.239,8.6022,3.6451,0.6891,23.0537,41.9269,123.9142,0.6813,2.510394699855384,1.3416825716886456,2.7312406240388,1.2476434149620959,1.9048914678749542,0.8086303255614093,1.7499708068639643,1.5088351748620685
TCGA-D1-A17A-01A,IS1,5.447368421052632,2.752212013474308,1.1047,0.9738,0.4771,3.2298,3.073,0.9127,189.044,185.6018,49.1724,0.6531,1.512931306887084,1.0249596530413287,2.9089658064455435,1.4530213329947383,1.7203338416181058,1.0497612404475456,1.2136322157290138,3.0553513512471526
TCGA-AP-A05P-01A,IS1,1.0526315789473684,2.8067547579998497,0.7141,1.3472,0.457,3.3422,4.2623,1.213,119.7142,23.8346,80.0348,0.5808,2.077369400279546,1.3809399706272272,2.933378802358786,1.6015951935886288,1.852840805693971,0.9043785896461006,1.4042203227871184,1.779855309693044
TCGA-D1-A176-01A,IS1,10.131578947368421,2.8358503094380874,1.9559,2.5956,0.4845,3.6046,5.81,1.617,31.9902,433.0133,126.0497,0.746,2.154948824657148,1.73238440016375,2.2451234841426113,1.1670567757661252,1.5867010327503095,0.7148709801589197,1.3556599404677054,2.505154349973463
TCGA-D1-A16Q-01A,IS1,0.7105263157894737,2.949597096363943,1.0383,15.4471,8.3494,8.8268,5.3116,1.0977,13.7485,73.7279,61.1497,0.6162,3.04561374519426,1.3787292730646585,3.5961915625096412,1.5005322658065137,2.313960595319705,0.9072826358519035,1.6579727473862416,3.482631840212475
TCGA-AP-A0LH-01A,IS1,1.0526315789473684,2.589487041998385,1.0071,0.4062,0.5118,0.6769,2.8413,0.4195,49.6084,103.6341,47.2129,0.3002,1.157113932546385,1.32753527710337,1.7122723680726506,0.9558432230054249,0.5974974714912706,1.0805786451756292,1.339291553168914,1.4878191184084668
TCGA-AP-A0LJ-01A,IS1,0.9210526315789473,2.86948569494439,1.3186,6.3471,2.8928,1.8738,7.5167,0.8131,27.2438,40.4938,75.0963,0.5091,2.314492171953879,1.5983931311031954,2.906523721387479,1.4108438947209785,1.2788901032143034,1.0058578652695929,2.607642688436758,2.3334781658969845
TCGA-B5-A11G-01A,IS1,13.421052631578947,2.511574059836862,0.7299,5.8982,1.6639,13.5524,2.1588,1.5999,8.7308,6.4387,35.7064,0.732,2.089335841159681,1.4477586666904265,3.053499804665425,1.568627537095352,2.564463315817474,0.5393902620802774,0.7470578601542872,0.8955924418674414
TCGA-D1-A16G-01A,IS1,0.8157894736842105,2.8169032499723574,1.2117,1.1275,1.0467,1.7103,1.821,0.7764,15.0919,71.7814,117.8399,0.7164,1.067862515481893,1.5143117606127747,1.49328153899687,0.8985957120339395,1.3843911467131196,1.059286149036549,1.9893050350982948,2.880251118559212
