antigen,spearman_r,pvalue,n,FDR
PGGHG,-0.04212501949010265,0.3245216924480111,549,0.49413221883744046
OGDHL,0.01612997269572596,0.7060989495543173,549,0.8229683586545334
FRAS1,0.06300963674109666,0.1403568702636367,549,0.2708256284746441
ANKRD34B,0.1062220404287381,0.012765759147610172,549,0.04494931458902497
TAS1R1,-0.10289994475624811,0.01586820267358539,549,0.0528488003573257
HSH2D,0.16470525525688867,0.00010580475068274213,549,0.0008413996840008542
LRFN4,-0.0555983914772954,0.1933443782931791,549,0.33987906499958853
SLC12A3,0.1544764835029725,0.00028005801285566577,549,0.0019962671770016663
CENPH,-0.03633375758300971,0.3955100648337667,549,0.5617876862584122
BCL2L12,-0.06904137703467608,0.10610886588660867,549,0.22471243518377815
STAP2,-0.07864196590773115,0.06557866224591787,549,0.15971136701141248
PNPLA3,-0.030417650788445386,0.47693026883871315,549,0.6423173781940734
DSCC1,-0.016943081648119345,0.6920218981970525,549,0.8130387929571401
SYTL1,-0.03559222716575834,0.40523089297011894,549,0.5721194612102283
HIP1R,-0.006049582821151566,0.8875346203914001,549,0.9372429731143149
IGSF8,-0.17035285244451218,6.0268412956074683e-05,549,0.0005378150743942848
RCC1,-0.0015697963238946848,0.9707260490576601,549,0.9850509994343791
TNFSF11,0.17521086495052357,3.660295638902974e-05,549,0.00034618097131070317
PFKFB2,0.04826645230332958,0.2588980162689816,549,0.42134407254634626
PPP1R13L,-0.06482665593351247,0.12924872605291776,549,0.2565225140167417
LY6K,-0.05731804102948922,0.17990543294851302,549,0.32219662583219216
ALOX15,-0.05966902613733304,0.16267006380040522,549,0.30088814016245835
HAUS8,-0.05822859548389114,0.1730760794748247,549,0.3127139673973262
COL10A1,0.23115438008722752,4.2982348633616874e-08,549,8.516333144525106e-07
ABHD3,0.17433856072419235,4.007166111632305e-05,549,0.00037475017475985316
RTKN,-0.09240991946508281,0.030392840276034762,549,0.0879381387055231
OVOL2,-0.11492332892627358,0.007027498362438688,549,0.028426109293047837
RENBP,0.24885710038037429,3.4033212159573796e-09,549,7.50657075746071e-08
SLC52A3,0.06253469238272398,0.14337778398647005,549,0.2756720879608281
LGSN,0.016772672020470277,0.6949635552546665,549,0.8147660118262324
H4C13,0.03011456952367259,0.4813341492087321,549,0.6460156376865761
MXD3,-0.18234676001416936,1.7166637176386463e-05,549,0.00018079098071347544
NAA10,-0.17073286412044344,5.799095296278325e-05,549,0.0005214724924114893
MMP1,0.05247671349645968,0.21959259421852562,549,0.3752978693588545
ALDH3A1,-0.012972394997704613,0.7616818920776491,549,0.8553373024387817
MOGAT1,0.0062269869581540295,0.8842594076532321,549,0.9350563566073855
PDE7A,-0.02645189528016607,0.5362568082225039,549,0.6965380097912302
VSIG8,-0.03516210799385019,0.4109340641657144,549,0.5780769205893141
MECOM,-0.05007748902208638,0.24143250419143303,549,0.4003327622691989
KRT80,0.06910214989430019,0.10580091641519984,549,0.22469596242957404
BST2,0.07472102864229227,0.08025210667117585,549,0.18540457055060194
EPS8L2,-0.04513269587099909,0.29114161357066703,549,0.4562259333299058
GSR,0.010753315130483974,0.8015116557158773,549,0.8861190215593001
DQX1,-0.07304094808492957,0.08730513416342311,549,0.19779011983922792
VSIG1,0.18631518035091976,1.1123936807494625e-05,549,0.000122678133282653
HOMER2,-0.04211551919820438,0.3246309187914066,549,0.49413221883744046
STAT1,0.38404204785681395,9.78265296134197e-21,549,5.198146050822164e-19
SOHLH1,0.0005087099794022729,0.9905115497635313,549,0.9956032793010876
EREG,0.13843407503027466,0.0011463988646552758,549,0.0065372696233269145
UPK1A,-0.03640567930760296,0.3945747673742069,549,0.5617876862584122
AQP6,-0.04861746030591301,0.25544646327543036,549,0.417414663879421
BAK1,0.1392393964776399,0.0010716998224698407,549,0.0062020648141942756
SGPP2,0.09996925096362695,0.01913516372633897,549,0.06098390622072958
ROBO2,0.10678444321371748,0.012297221214020439,549,0.04396162568559601
CHAC2,0.09168104567901791,0.031730884181531874,549,0.09025159028761744
GPC2,-0.08892356777521963,0.037258091363707675,549,0.10419786795257004
ALDH18A1,-0.02323880180287983,0.5868992731965135,549,0.7314341688344609
TNFAIP2,0.08824676101689387,0.038733313769957076,549,0.10704312954392393
SALL4,0.06364376657962019,0.13639985760391668,549,0.2670878283734985
KRT86,0.038237045240809536,0.3712108204351182,549,0.5417546180882062
PSD4,-0.030430812855127807,0.4767395189815931,549,0.6423173781940734
CGN,0.0003195289015559448,0.9940400673186073,549,0.9974530804252805
NAPSA,0.12807794193993283,0.0026426254938413875,549,0.012925645197910385
STON2,-0.11076589958637291,0.009392988151239625,549,0.03565065957402312
PPP4C,-0.11481168028254304,0.0070833048531177105,549,0.028553046114808977
FTH1,-0.009776598097765982,0.8192137442829951,549,0.8975265858170771
IRX5,-0.0864244000167824,0.04295353654855634,549,0.11620647384576928
PRR19,-0.07880757403937014,0.0650110130385827,549,0.1586594451818438
DECR2,-0.14593985807579204,0.0006034307622932175,549,0.0038972959177943165
STRIP2,0.09961491905641959,0.019567386048525766,549,0.06215835405088756
ABCA4,0.06332956681784235,0.13834961753621122,549,0.26865565265752644
C9orf152,0.0005202680823799235,0.9902959786982609,549,0.9956032793010876
NSD2,-0.024552742937330712,0.5659241742562817,549,0.7167555359757241
TESMIN,-0.09849551268925395,0.0209892151152076,549,0.06560532745903123
TMEM38A,-0.11118739346052474,0.009124472991532141,549,0.03508720041809563
SELENOI,0.10767895735527391,0.011583265012192829,549,0.04192209535372575
HNF4G,0.22373405432002952,1.1732917668535749e-07,549,2.21222270234166e-06
KCNN1,-0.08093484331179877,0.058072313618585204,549,0.1466231849246784
CYP2J2,0.014135311545693158,0.7410504807719333,549,0.8386137580081219
CHEK2,-0.04790649102004852,0.2624709399330358,549,0.423602552518351
ECEL1,0.04416272412100044,0.30164545397267023,549,0.46581708810310635
GPR84,0.4588708152278588,6.0891547202593676e-30,549,5.084444191416572e-28
TUFT1,-0.02448870661865756,0.5669380464178211,549,0.7172625284225465
ADAM8,0.337251297224972,4.5396016855036825e-16,549,2.1227177481415218e-14
CERS1,-0.08521972410165111,0.045951042167622684,549,0.12248331262839827
