gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR
ADAM28,0.3341979488815521,16.04602641165756,12.521334285714286,0.3854467815441561,0.4353461436291405
SIKE1,0.009619945998208479,20.82695883424408,20.681900000000002,0.38601270721522873,0.4359554794384477
GLMN,0.17387234034734078,9.244537704918034,8.081374285714285,0.3865791399947279,0.4365055622228772
BRWD3,0.3189470157055938,5.4165918032786875,4.143891428571428,0.3865791471474396,0.4365055622228772
EXOSC10,-0.004418913316469819,25.341524772313296,25.422331428571425,0.3865791471474396,0.4365055622228772
SLC14A1,1.3320452294879974,5.026348633879781,1.393694285714286,0.3871458723652965,0.4370559833985016
PLPP6,0.16569296517346066,14.811479417122039,13.095937142857144,0.38714608688239194,0.4370559833985016
TBL1XR1,0.20074766145761114,44.12501839708561,38.26325714285714,0.38714608688239194,0.4370559833985016
LCN12,-0.05716848409862152,20.696311111111115,21.573314285714286,0.38828148661563766,0.43827777546420293
MPG,0.1293225936671787,45.96018196721311,41.93384571428572,0.3882814794694135,0.43827777546420293
SUB1,-0.0349547418634959,49.33723806921675,50.571742857142866,0.3888499391621555,0.43888939565555457
PDE4DIP,0.22916859871981599,5.468698178506375,4.518617142857144,0.3894189123388119,0.4394113409319279
RAB3A,-0.16292898689993418,11.57775956284153,13.08152857142857,0.3894188909133709,0.4394113409319279
LENG9,0.011309138954431308,11.537884699453551,11.439985714285712,0.3894189123388119,0.4394113409319279
DDI2,-0.005846664767549026,11.551419489981784,11.602388571428571,0.3894189123388119,0.4394113409319279
NAGK,0.1267292627826606,20.565667213114757,18.752114285714285,0.38998837741701897,0.4400238168941307
CBFA2T2,0.1835086261206449,16.616130418943534,14.512039999999999,0.39027329615863815,0.44031517746188964
LCN8,0.21578292054870785,0.5691081967213115,0.3511257142857142,0.3909123631288034,0.44100602891814816
DHX15,0.18695884663031848,49.737506375227696,43.570642857142865,0.39112883977879354,0.4411899082914355
TBCC,0.13473961579657523,63.8494087431694,58.067060000000005,0.39112883977879354,0.4411899082914355
CUL7,0.0055134013274900084,32.848654826958104,32.71954571428572,0.39227133209814824,0.442448378816931
SPTLC2,0.02671389149680614,36.10383151183971,35.423114285714284,0.3925572621797744,0.4427406146733605
RGS21,0.63431159962354,0.5860969034608379,0.02184,0.3931213948985839,0.4433465563631716
THRSP,0.8666536493504401,2.0675590163934423,0.6823028571428572,0.39335697918910983,0.4435819167916565
SLC22A5,-0.1851129283859656,6.473179963570128,7.496302857142858,0.3937022669483139,0.4439409473114129
MARK4,0.027247253994580944,24.034778870673954,23.566399999999998,0.39398884982751536,0.4441730247679615
MAP7D2,0.6594394144753206,3.0552770491803276,1.567494285714286,0.3939887714692193,0.4441730247679615
MEIOC,0.2052396298720247,0.30219526411657555,0.1295171428571429,0.3939869763438051,0.4441730247679615
KCNJ16,0.3667138685056397,3.0730440801457197,2.158837142857143,0.3940554632185105,0.4442177678291074
CDHR4,-0.1464351430470412,19.281748998178507,21.44847142857143,0.3942569617739915,0.44441455010571956
IL1RAPL2,0.175697450018871,0.28398214936247723,0.13676,0.3945212611103027,0.4446820909884385
ZFAND3,-0.03758923509336398,78.64161329690346,80.74393428571429,0.3945623657307189,0.4446980400208635
SOX2,0.9226730750961876,8.867742805100182,4.2055371428571435,0.3946676894841247,0.444786361166001
SVOPL,-0.032872834251255756,0.7213699453551912,0.7610428571428571,0.3948483944903953,0.4449596183266764
GPD2,-0.048703033067037715,21.865373952641164,22.65044857142857,0.39513636499559146,0.4451321339727837
KDELR2,0.10953660611573746,211.20677795992714,195.69143428571428,0.39513638635176485,0.4451321339727837
TRAPPC9,0.08954986522064345,19.19672987249545,17.98120857142857,0.3951363721143162,0.4451321339727837
HSPA8,0.28789783646291234,548.6817857923497,449.2414371428571,0.39513638635176485,0.4451321339727837
CCDC117,0.006784032142909346,30.463803096539163,30.316197142857146,0.39513638635176485,0.4451321339727837
CACNG4,0.8371953635883562,10.470353916211293,5.420308571428571,0.3957097159762629,0.4456576297550442
HEXIM1,0.10190835741008542,66.38925591985429,61.79328285714286,0.39571091152149607,0.4456576297550442
FAM120A,0.015700952648675326,81.70323661202185,80.80805142857143,0.39571091152149607,0.4456576297550442
IGF2BP2,0.746558117798994,26.603254644808743,15.452197142857143,0.3957108972888551,0.4456576297550442
SCIMP,0.10326131726188947,1.3287928961748634,1.1679342857142856,0.396573588030365,0.4465987068481203
TMBIM6,0.08114577554317037,428.55778378870673,405.0638057142857,0.39686147482425105,0.4468314073330031
ABLIM2,0.34208295696813407,2.512653005464481,1.7711371428571427,0.39686143215548486,0.4468314073330031
TADA2A,0.009035917217577794,12.657895081967213,12.572619999999999,0.3968614677127906,0.4468314073330031
PROK1,-4.625154574430377,0.537994717668488,36.954660000000004,0.39804466528559224,0.4481329935772963
CORIN,-0.10846452725180245,0.6591344262295082,0.7886799999999999,0.3983023363457804,0.44839249027858646
GUCY2C,0.22065506425644765,0.393167941712204,0.19558285714285717,0.3984337347958593,0.4484947041737445
RIPPLY1,0.19960897305791772,0.3096009107468124,0.14038285714285717,0.3984475014592419,0.4484947041737445
GPAM,0.09625737535482948,6.044541530054645,5.589862857142857,0.39859109959404093,0.4485951266186293
NR6A1,0.36425032663576484,2.028185974499089,1.3525142857142858,0.39859104276170887,0.4485951266186293
AZIN1,0.26332602068028876,93.72722204007287,77.92339714285714,0.39887979688145825,0.44888941943726457
RTL8A,0.12748490382585675,180.06553387978144,164.75208857142857,0.3991686413333293,0.44915320179493023
RALGPS1,0.02777799111212831,4.122084153005465,4.024405714285714,0.39916862002872955,0.44915320179493023
RPS28,0.23342727595371748,712.2156653916211,605.66964,0.39974670060589745,0.44977297051054327
PRORP,0.10328660705216675,2.20627941712204,1.9847571428571427,0.400035816016003,0.4500675731473007
ANKRD18A,0.24005430175388687,0.9267743169398907,0.6314257142857145,0.40011741606624884,0.45012868259536126
GABPB1,-0.012179547312760164,10.43309927140255,10.53002857142857,0.4003252488316994,0.4503317847555827
GLI4,0.23135660548565706,13.886916393442624,11.681174285714285,0.40090431422144857,0.4509524358100128
HDAC3,-0.028598574302608704,31.54830819672131,32.199951428571424,0.4014838753043056,0.45154277556550787
TMEM219,0.07581278487886411,171.61147923497268,162.7750542857143,0.4014838753043056,0.45154277556550787
CD96,-0.009248068432305079,3.035357741347905,3.061308571428571,0.4020639035503937,0.4521642999846213
NXF3,-1.984630696946445,1.8281568306010931,10.19275142857143,0.40261562004145657,0.4527539022182503
QPRT,0.11070615052251398,104.53446411657559,96.73912285714286,0.4026445051068006,0.45275552380398015
C20orf204,0.5222488030314925,1.8126797814207651,0.9584285714285715,0.4032254813719891,0.4533471112784523
NONO,0.15326884393968054,133.28627887067393,119.75166285714285,0.4032255734573893,0.4533471112784523
DPYSL5,1.119196775789526,1.3416590163934425,0.07798285714285716,0.40380519757095523,0.45393903821443304
DNAH2,-0.7691739749327722,2.3410455373406194,4.694122857142857,0.40380708721269365,0.45393903821443304
CPOX,0.005650653118368432,17.03848233151184,16.96796857142857,0.4043892161253806,0.45456246423904945
TRIM54,0.6061317111462812,1.0899078324225866,0.3729771428571428,0.4046904651481398,0.45483910988582393
